cocktail.name,ingredient,measure,row
three wise men,jim beam,9.83333333333333,906
three wise men,johnnie walker,9.83333333333333,907
three stages of friendship,jack daniels,9.83333333333333,908
three stages of friendship,tequila,9.83333333333333,909
three stages of friendship,151 proof rum,9.83333333333333,910
three miller cocktail,light rum,44.25,911
three miller cocktail,brandy,22.125,912
three miller cocktail,lemon juice,0.925,913
three miller cocktail,grenadine,3.7,914
three-legged monkey,crown royal,29.5,915
three-legged monkey,amaretto,29.5,916
three-legged monkey,pineapple juice,29.5,917
third-rail cocktail,light rum,22.125,918
third-rail cocktail,brandy,22.125,919
third-rail cocktail,apple brandy,22.125,920
third-rail cocktail,anis,0.925,921
think pink,rum,20,922
think pink,passoa,20,923
think pink,sprite,100,924
think pink,ice,120,925
the world's best pina colada,black rum,177,926
the world's best pina colada,cream of coconut,236,927
the world's best pina colada,pineapple juice,236,928
the world's best pina colada,ice,100,929
the world's best pina colada,pineapple,100,930
the vaitkus,vodka,29.5,931
the vaitkus,peach schnapps,44.25,932
the triple,vodka,9.83333333333333,933
the triple,jägermeister,14.75,934
the triple,goldschlager,14.75,935
the tony kelly,rum,236.5,936
the tony kelly,orange soda,118.25,937
the tony kelly,margarita mix,118.25,938
the three wise men,jägermeister,9.83333333333333,939
the three wise men,goldschlager,9.83333333333333,940
the three wise men,peppermint schnapps,9.83333333333333,941
the terminator,jägermeister,14.75,942
the terminator,southern comfort,14.75,943
the skunk pussy,gin,29.5,944
the skunk pussy,tequila,29.5,945
the skunk pussy,lime,1.25,946
the skunk pussy,7-up,355,947
the shoot,sherry,29.5,948
the shoot,scotch,29.5,949
the shoot,lemon juice,3.7,950
the shoot,orange juice,3.7,951
the shoot,powdered sugar,1.85,952
the shearer special,bacardi limon,2,953
the shearer special,cranberry juice,100,954
the shanaynay,151 proof rum,59,955
the shanaynay,water,354,956
the saint lawrence,ale,472,957
the saint lawrence,mad dog 20/20,472,958
the roni,rum,29.5,959
the roni,coca-cola,29.5,960
the roni,southern comfort,29.5,961
the real cuba libre,ice,10,962
the real cuba libre,lime,10,963
the real cuba libre,rum,80,964
the real cuba libre,coca-cola,29.5,965
the race,bourbon,29.5,966
the race,mandarine napoleon,14.75,967
the race,apricot nectar,29.5,968
the race,strawberry syrup,0.9,969
the race,lemon juice,1.8,970
the quan,vodka,29.5,971
the quan,blue curacao,29.5,972
the quan,ice,100,973
the quan,7-up,100,974
the power of milk,sugar,11.1,975
the power of milk,vodka,50,976
the power of milk,milk,150,977
the pink drink,galliano,14.75,978
the pink drink,vodka,14.75,979
the pink drink,cointreau,14.75,980
the pink drink,grenadine,29.5,981
the pink drink,milk,29.5,982
the pink drink,whipped cream,100,983
the pineapple drink,light rum,44.25,984
the pineapple drink,pineapple,70,985
the pineapple drink,pineapple juice,59,986
the pineapple drink,sweet and sour,118,987
the pineapple drink,sprite,59,988
the piledriver,dark rum,3.33333333333333,989
the piledriver,vodka,3.33333333333333,990
the piledriver,coca-cola,1.66666666666667,991
the piledriver,orange juice,1.66666666666667,992
the pernod demon,pernod,44.25,993
the pernod demon,lemon,10,994
the pernod demon,tabasco sauce,5.4,995
the pernod demon,sugar,100,996
the perfect margarita #2,gold tequila,59,997
the perfect margarita #2,cointreau,14.75,998
the perfect margarita #2,grand marnier,14.75,999
the perfect margarita #2,orange juice,14.75,1000
the perfect margarita #2,rose's sweetened lime juice,29.5,1001
the perfect margarita #2,sweet and sour,118,1002
the peg,bourbon,59,1003
the peg,coca-cola,100,1004
the peg,lime juice,3.7,1005
the peg,ice,120,1006
the party girl,cranberry juice,59,1007
the party girl,raspberry liqueur,29.5,1008
the party girl,absolut kurant,29.5,1009
the original singapore sling,gin,29.5,1010
the original singapore sling,benedictine,29.5,1011
the original singapore sling,cherry brandy,29.5,1012
the original singapore sling,club soda,118,1013
the nog,midori melon liqueur,29.5,1014
the nog,triple sec,29.5,1015
the nog,light rum,29.5,1016
the nog,pineapple juice,118,1017
the moby,vodka,118,1018
the moby,surge,236,1019
the lip twister,lemon juice,64.25,1020
the lip twister,lime juice,64.25,1021
the lip twister,salt,3.7,1022
the lip twister,squeezed orange,10,1023
the lip twister,water,1000,1024
the juice,everclear,10,1025
the juice,lemonade,355,1026
the juice,water,15140,1027
the james robert dean,vodka,50,1028
the james robert dean,dark rum,50,1029
the james robert dean,pepsi cola,5,1030
the james robert dean,gin,100,1031
the james robert dean,orange soda,30,1032
the jack hammer,jack daniels,29.5,1033
the jack hammer,gold tequila,29.5,1034
the italian job,vodka,118,1035
the italian job,cointreau,88.5,1036
the italian job,pineapple juice,147.5,1037
the italian job,blackcurrant squash,100,1038
the italian job,cream,100,1039
the incredible hulk,spiced rum,59,1040
the incredible hulk,sugar,11.1,1041
the incredible hulk,mountain dew,20,1042
the icelandic way,vodka,30,1043
the icelandic way,lemon soda,60,1044
the icelandic way,beer,100,1045
the icelandic way,coca-cola,100,1046
the hot churchill,rum,44.25,1047
the hot churchill,ginger,100,1048
the hot churchill,honey,1.85,1049
the hot churchill,water,100,1050
the green one,vodka,20,1051
the green one,creme de banane,20,1052
the green one,blue curacao,30,1053
the green one,orange juice,60,1054
the graveyard,tabasco sauce,29.5,1055
the graveyard,tequila,29.5,1056
the graveyard,lemon-lime soda,100,1057
the g.o.a.t.,vodka,29.5,1058
the g.o.a.t.,tequila,29.5,1059
the g.o.a.t.,dark rum,29.5,1060
the g.o.a.t.,tabasco sauce,3.7,1061
the fuzzy pissbomb,peachtree schnapps,88.5,1062
the fuzzy pissbomb,mountain dew,88.5,1063
the fucking shit,cranberry juice,118,1064
the fucking shit,pink lemonade,29.5,1065
the fucking shit,vodka,59,1066
the fran,spiced rum,73.75,1067
the fran,yukon jack,73.75,1068
the fran,pepper sauce,1.8,1069
the fran,sour mix,59,1070
the fran,ice,100,1071
the fran,coca-cola,100,1072
the frad,coconut rum,29.5,1073
the frad,sprite,59,1074
the frad,pineapple juice,29.5,1075
the frad,peach schnapps,29.5,1076
the frad,ice,120,1077
the finnely,light rum,44.25,1078
the finnely,dark rum,59,1079
the finnely,pineapple juice,29.5,1080
the finnely,grapefruit juice,29.5,1081
the finnely,orange juice,59,1082
the feckin bolox,galliano,9.83333333333333,1083
the feckin bolox,bailey's irish cream,9.83333333333333,1084
the feckin bolox,cointreau,9.83333333333333,1085
the evil blue thing,creme de cacao,44.25,1086
the evil blue thing,blue curacao,29.5,1087
the evil blue thing,light rum,14.75,1088
the drink of champions,crown royal,59,1089
the drink of champions,dr. pepper,100,1090
the drink,sherry,29.5,1091
the drink,gin,88.5,1092
the drink,ice,20,1093
the dragon,vodka,100,1094
the dragon,kool-aid,100,1095
the dragon,orange juice,100,1096
the dragon,strawberry schnapps,100,1097
the district iii,ice,100,1098
the district iii,black rum,29.5,1099
the district iii,gin,29.5,1100
the district iii,soda water,3.7,1101
the district iii,sweet and sour,100,1102
the constable shuffle,peach schnapps,59,1103
the constable shuffle,galliano,29.5,1104
the constable shuffle,west coast cooler,5,1105
the constable shuffle,cider,236.5,1106
the bronx ain't so sweet,gin,44.25,1107
the bronx ain't so sweet,dry vermouth,3.7,1108
the bronx ain't so sweet,orange juice,14.75,1109
the breakfast drink,vodka,257,1110
the breakfast drink,peachtree schnapps,257,1111
the breakfast drink,orange juice,3785,1112
the breakfast drink,chambord raspberry liqueur,128.5,1113
the breakfast drink,collins mix,1419,1114
the boiling panther,spiced rum,59,1115
the boiling panther,dr. pepper,4730,1116
the black death,vodka,29.5,1117
the black death,soy sauce,14.75,1118
the big johnson,vodka,118,1119
the big johnson,jack daniels,10,1120
the big johnson,7-up,266.25,1121
the big johnson,rose's sweetened lime juice,0.9,1122
the big johnson,grenadine,0.9,1123
the big banana!,rum,59,1124
the big banana!,amaretto,59,1125
the big banana!,coconut rum,59,1126
the big banana!,creme de banane,59,1127
the big banana!,pineapple juice,236,1128
the betty ford,absolut citron,44.25,1129
the betty ford,sprite,295,1130
the betty ford,grenadine,14.75,1131
the angry german,amaretto,29.5,1132
the angry german,blackberry schnapps,29.5,1133
the angry german,jägermeister,29.5,1134
the angry german,rose's sweetened lime juice,59,1135
the angry german,salt,0.9,1136
the angry german,ice,120,1137
the 5th element,pineapple juice,88.5,1138
the 5th element,sprite,88.5,1139
the 5th element,151 proof rum,29.5,1140
the 5th element,southern comfort,29.5,1141
the 5th element,everclear,29.5,1142
thanksgiving special,apricot brandy,22.125,1143
thanksgiving special,dry vermouth,22.125,1144
thanksgiving special,gin,22.125,1145
thanksgiving special,lemon juice,0.925,1146
thanksgiving special,cherry,10,1147
thai iced tea,tea,64.25,1148
thai iced tea,water,128.5,1149
thai iced tea,condensed milk,7.4,1150
thai iced tea,ice,120,1151
thai iced tea,mint,100,1152
thai iced coffee,coffee,100,1153
thai iced coffee,sugar,100,1154
thai iced coffee,cream,100,1155
thai iced coffee,cardamom,100,1156
thai coffee,coffee,66.6,1157
thai coffee,coriander,0.925,1158
thai coffee,cardamom,40,1159
thai coffee,sugar,100,1160
thai coffee,whipping cream,100,1161
thai coffee,ice,100,1162
tgv,tequila,10,1163
tgv,gin,10,1164
tgv,vodka,10,1165
tgv,blue curacao,0.9,1166
texas sweat,grain alcohol,29.5,1167
texas sweat,grenadine,0.9,1168
texas sweat,vodka,29.5,1169
texas sweat,rum,29.5,1170
texas sweat,gin,29.5,1171
texas sweat,tequila,29.5,1172
texas sling,kahlua,14.75,1173
texas sling,irish cream,14.75,1174
texas sling,amaretto,14.75,1175
texas sling,151 proof rum,14.75,1176
texas sling,cream,29.5,1177
texas rose,rum,44.5,1178
texas rose,orange juice,89,1179
texas rose,creme de banane,44.5,1180
texas rose,pineapple juice,44.5,1181
texas rattlesnake,yukon jack,29.5,1182
texas rattlesnake,cherry brandy,14.75,1183
texas rattlesnake,southern comfort,29.5,1184
texas rattlesnake,sweet and sour,3.7,1185
texas prairie fire,tequila,22.125,1186
texas prairie fire,lime juice,100,1187
texas prairie fire,tabasco sauce,100,1188
texas cool-aid,vodka,29.5,1189
texas cool-aid,midori melon liqueur,29.5,1190
texas cool-aid,creme de noyaux,29.5,1191
texas cool-aid,cranberry juice,3.7,1192
terror from the deep,hot damn,40,1193
terror from the deep,dr. pepper,40,1194
terminator,151 proof rum,14.75,1195
terminator,rumple minze,14.75,1196
tequonic,tequila,59,1197
tequonic,lemon,5,1198
tequonic,tonic water,100,1199
tequini,tequila,44.25,1200
tequini,dry vermouth,14.75,1201
tequini,bitters,0.9,1202
tequini,lemon peel,15,1203
tequini,olive,10,1204
tequillya,tequila,29.5,1205
tequillya,white rum,29.5,1206
tequillya,vodka,29.5,1207
tequillya,margarita mix,88.5,1208
tequila surprise,tequila,4730,1209
tequila surprise,tabasco sauce,80,1210
tequila sunset,tequila,29.5,1211
tequila sunset,orange juice,100,1212
tequila sunset,blackberry brandy,100,1213
tequila sunset,cherry,100,1214
tequila sunrise,tequila,20,1215
tequila sunrise,orange juice,100,1216
tequila sunrise,grenadine,100,1217
tequila sour,tequila,59,1218
tequila sour,lemon,5,1219
tequila sour,powdered sugar,3.7,1220
tequila sour,lemon,5,1221
tequila sour,cherry,10,1222
tequila slammer,tequila,29.5,1223
tequila slammer,mountain dew,14.75,1224
tequila press,lemon,10,1225
tequila press,soda water,257,1226
tequila press,tequila,29.5,1227
tequila press,sugar syrup,100,1228
tequila press,ice,100,1229
tequila pink,tequila,44.25,1230
tequila pink,dry vermouth,29.5,1231
tequila pink,grenadine,0.9,1232
tequila old-fashioned,tequila,44.25,1233
