cocktail.name,ingredient,measure,row
seabreeze,cranberry juice,118,2457
seabreeze,grapefruit juice,29.5,2458
seaboard,blended whiskey,29.5,2459
seaboard,gin,29.5,2460
seaboard,lemon juice,11.1,2461
seaboard,powdered sugar,3.7,2462
seaboard,mint,30,2463
sd special,water,236,2464
sd special,lemon,10,2465
sd special,ice,60,2466
sd special,vodka,88.5,2467
screwdriver with color,vodka,100,2468
screwdriver with color,orange juice,100,2469
screwdriver with color,kahlua,100,2470
screwdriver with color,ice,100,2471
screwdriver á la carla,vodka,59,2472
screwdriver á la carla,orange juice,177,2473
screwdriver á la carla,sugar,33.3,2474
screwdriver á la carla,egg yolk,10,2475
screwdriver (modified),orange juice,88.5,2476
screwdriver (modified),vodka,59,2477
screwdriver (modified),apple juice,88.5,2478
screwdriver,vodka,59,2479
screwdriver,orange juice,100,2480
screaming white orgasm,bailey's irish cream,30,2481
screaming white orgasm,kahlua,20,2482
screaming white orgasm,white rum,20,2483
screaming white orgasm,cointreau,100,2484
screaming white orgasm,milk,9,2485
screaming white orgasm,ice,100,2486
screaming viking,vodka,59,2487
screaming viking,dry vermouth,29.5,2488
screaming viking,lime juice,29.5,2489
screaming viking,celery,10,2490
screaming viking,cucumber,10,2491
screaming orgasm ii,amaretto,29.5,2492
screaming orgasm ii,bailey's irish cream,29.5,2493
screaming orgasm ii,vodka,29.5,2494
screaming orgasm (san francisco style),bailey's irish cream,29.5,2495
screaming orgasm (san francisco style),triple sec,29.5,2496
screaming orgasm (san francisco style),cognac,14.75,2497
screaming orgasm,vodka,29.5,2498
screaming orgasm,bailey's irish cream,44.25,2499
screaming orgasm,kahlua,14.75,2500
screaming nazi,jägermeister,5,2501
screaming nazi,rumple minze,5,2502
screaming multiple orgasm,orange liqueur,20,2503
screaming multiple orgasm,bailey's irish cream,20,2504
screaming multiple orgasm,galliano,15,2505
screaming multiple orgasm,milk,30,2506
screaming multiple orgasm,strawberries,100,2507
screaming dead nazi,jägermeister,3.33333333333333,2508
screaming dead nazi,151 proof rum,3.33333333333333,2509
screaming dead nazi,rumple minze,3.33333333333333,2510
screaming blue messiah,goldschlager,44.25,2511
screaming blue messiah,blue curacao,7.375,2512
screaming banana banshee,banana liqueur,14.75,2513
screaming banana banshee,vodka,14.75,2514
screaming banana banshee,creme de cacao,14.75,2515
screaming banana banshee,cream,44.25,2516
screaming banana banshee,cherry,10,2517
scotty boy,absolut kurant,100,2518
scotty boy,sour mix,100,2519
scotty boy,soda water,100,2520
scottish highland liqueur,johnnie walker,10,2521
scottish highland liqueur,honey,385.5,2522
scottish highland liqueur,angelica root,7.4,2523
scottish highland liqueur,fennel seeds,0.925,2524
scottish highland liqueur,lemon peel,20,2525
scotch sour,scotch,44.25,2526
scotch sour,lime,5,2527
scotch sour,powdered sugar,1.85,2528
scotch sour,lemon,5,2529
scotch sour,cherry,10,2530
scotch rickey,scotch,44.25,2531
scotch rickey,lime,5,2532
scotch rickey,carbonated water,100,2533
scotch rickey,lime peel,100,2534
scotch old-fashioned,bitters,2.7,2535
scotch old-fashioned,scotch,88.5,2536
scotch old-fashioned,water,3.7,2537
scotch old-fashioned,sugar,10,2538
scotch old-fashioned,orange,10,2539
scotch old-fashioned,maraschino cherry,10,2540
scotch mist,scotch,59,2541
scotch mist,ice,100,2542
scotch mist,lemon peel,15,2543
scotch holiday sour,scotch,44.25,2544
scotch holiday sour,cherry brandy,29.5,2545
scotch holiday sour,sweet vermouth,14.75,2546
scotch holiday sour,lemon juice,29.5,2547
scotch holiday sour,lemon,10,2548
scotch highball,scotch,59,2549
scotch highball,carbonated water,100,2550
scotch highball,lemon peel,100,2551
scotch flip,scotch,59,2552
scotch flip,egg,10,2553
scotch flip,sugar,3.7,2554
scotch flip,light cream,14.75,2555
scotch flip,nutmeg,0.4625,2556
scotch fix,sugar,3.7,2557
scotch fix,lemon juice,29.5,2558
scotch fix,water,7.4,2559
scotch fix,scotch,59,2560
scotch fix,maraschino cherry,10,2561
scotch fix,lemon juice,10,2562
scotch daisy,scotch,59,2563
scotch daisy,lemon juice,29.5,2564
scotch daisy,sugar,1.85,2565
scotch daisy,grenadine,1.85,2566
scotch daisy,maraschino cherry,10,2567
scotch daisy,orange,10,2568
scotch cooler,scotch,59,2569
scotch cooler,white creme de menthe,2.7,2570
scotch cooler,carbonated water,100,2571
scotch cobbler,scotch,59,2572
scotch cobbler,brandy,3.6,2573
scotch cobbler,curacao,3.6,2574
scotch cobbler,orange,10,2575
scotch cobbler,mint,10,2576
scotch bishop cocktail,scotch,29.5,2577
scotch bishop cocktail,dry vermouth,14.75,2578
scotch bishop cocktail,triple sec,1.85,2579
scotch bishop cocktail,orange juice,11.1,2580
scotch bishop cocktail,powdered sugar,0.925,2581
scotch bishop cocktail,lemon peel,15,2582
scotch bird flyer,scotch,44.25,2583
scotch bird flyer,triple sec,14.75,2584
scotch bird flyer,light cream,29.5,2585
scotch bird flyer,powdered sugar,1.85,2586
scotch bird flyer,egg yolk,10,2587
scotch and water,scotch,59,2588
scotch and water,water,147.5,2589
scope #2,midori melon liqueur,14.75,2590
scope #2,rumple minze,14.75,2591
scope,white creme de menthe,59,2592
scope,ginger ale,473,2593
scooter,brandy,29.5,2594
scooter,amaretto,29.5,2595
scooter,light cream,29.5,2596
scooby snack #3,malibu rum,29.5,2597
scooby snack #3,midori melon liqueur,29.5,2598
scooby snack #3,milk,473,2599
scooby snack #2,vodka,22.125,2600
scooby snack #2,midori melon liqueur,22.125,2601
scooby snack #2,sweet and sour,3.7,2602
scooby snack #2,7-up,3.7,2603
scooby snack #1,malibu rum,22.125,2604
scooby snack #1,midori melon liqueur,22.125,2605
scooby snack #1,pineapple juice,29.5,2606
scooby snack #1,half-and-half,14.75,2607
schwartzy,peach schnapps,29.5,2608
schwartzy,southern comfort,29.5,2609
schwartzy,orange juice,177,2610
schwartzy,pineapple juice,3.7,2611
schnider,peach schnapps,118,2612
schnider,cider,473,2613
schnapp pop,wildberry schnapps,36.875,2614
schnapp pop,club soda,100,2615
schnapp pop,ice,100,2616
schnapp it up,peach schnapps,29.5,2617
schnapp it up,wildberry schnapps,29.5,2618
schnapp it up,absolut vodka,29.5,2619
schnapp it up,cranberry juice,88.5,2620
scarlet o'hara,southern comfort,59,2621
scarlet o'hara,cranberry juice,177,2622
scarlet o'hara,lime,10,2623
scarlet fever,absolut vodka,354,2624
scarlet fever,white rum,354,2625
scarlet fever,gin,177,2626
scarlet fever,cranberry juice,177,2627
scanex,vodka,20,2628
scanex,cranberry liqueur,20,2629
scanex,lemon juice,20,2630
scanex,grenadine,10,2631
scanex,sugar,10,2632
sazerac,ricard,3.7,2633
sazerac,sugar,1.85,2634
sazerac,peychaud bitters,1.8,2635
sazerac,water,3.7,2636
sazerac,bourbon,59,2637
sazerac,lemon peel,15,2638
saxon cocktail,light rum,51.625,2639
saxon cocktail,grenadine,1.85,2640
saxon cocktail,lime,5,2641
saxon cocktail,orange peel,150,2642
sax with t.,crown royal,29.5,2643
sax with t.,amaretto,22.125,2644
sax with t.,peach schnapps,7.375,2645
sax with t.,pineapple juice,100,2646
sax with t.,orange juice,100,2647
sax with t.,grenadine,7.4,2648
savannah,gin,29.5,2649
savannah,creme de cacao,0.9,2650
savannah,orange,5,2651
savannah,egg white,10,2652
sauterne,champagne,946,2653
sauterne,white wine,10,2654
sauterne,cognac,88.5,2655
sauterne,curacao,44.25,2656
saucy sue cocktail,apple brandy,59,2657
saucy sue cocktail,apricot brandy,1.85,2658
saucy sue cocktail,pernod,1.85,2659
satin angel,frangelico,29.5,2660
satin angel,cream,7.5,2661
satin angel,coca-cola,3.7,2662
satan's revenge,tequila,9.83333333333333,2663
satan's revenge,jack daniels,9.83333333333333,2664
satan's revenge,goldschlager,9.83333333333333,2665
satan's revenge,tabasco sauce,100,2666
satan's piss,151 proof rum,44.25,2667
satan's piss,tabasco sauce,2.7,2668
saratoga cocktail,brandy,59,2669
saratoga cocktail,pineapple juice,3.7,2670
saratoga cocktail,lemon juice,3.7,2671
saratoga cocktail,maraschino liqueur,1.85,2672
saratoga cocktail,bitters,1.8,2673
santiago cocktail,light rum,44.25,2674
santiago cocktail,grenadine,0.925,2675
santiago cocktail,lime,10,2676
santiago cocktail,powdered sugar,1.85,2677
santa shot,grenadine,3.33333333333333,2678
santa shot,green creme de menthe,3.33333333333333,2679
santa shot,peppermint schnapps,3.33333333333333,2680
sangrita,tequila,29.5,2681
sangrita,clamato juice,29.5,2682
sangrita,tabasco sauce,100,2683
sangrita,worcestershire sauce,9,2684
sangria #1,red wine,10,2685
sangria #1,sugar,128.5,2686
sangria #1,orange juice,257,2687
sangria #1,lemon juice,257,2688
sangria #1,cloves,100,2689
sangria #1,cinnamon,100,2690
sandra buys a dog,dark rum,29.5,2691
sandra buys a dog,añejo rum,29.5,2692
sandra buys a dog,cranberry juice,88.5,2693
sandra buys a dog,orange juice,29.5,2694
sandra buys a dog,bitters,0.9,2695
sand-martin cocktail,sweet vermouth,44.25,2696
sand-martin cocktail,gin,44.25,2697
sand-martin cocktail,green chartreuse,3.7,2698
sand-grown-un,dark rum,44.25,2699
sand-grown-un,sweet vermouth,14.75,2700
sand-grown-un,cherry brandy,14.75,2701
sand-grown-un,lemon juice,14.75,2702
sand-grown-un,sugar,1.85,2703
sancho panza,sherry,59,2704
sancho panza,campari,22.125,2705
sancho panza,angostura bitters,0.9,2706
san juan tea,bacardi limon,44.25,2707
san juan tea,151 proof rum,14.75,2708
san juan tea,sour mix,88.5,2709
san juan tea,coca-cola,100,2710
san francisco cocktail,sweet vermouth,22.125,2711
san francisco cocktail,dry vermouth,22.125,2712
san francisco cocktail,sloe gin,22.125,2713
san francisco cocktail,orange bitters,0.9,2714
san francisco cocktail,bitters,0.9,2715
san francisco cocktail,cherry,10,2716
san francisco,vodka,20,2717
san francisco,creme de banane,20,2718
san francisco,grenadine,100,2719
san francisco,orange juice,100,2720
san diego seabreeze,vodka,29.5,2721
san diego seabreeze,raspberry schnapps,14.75,2722
san diego seabreeze,blueberry schnapps,14.75,2723
san diego seabreeze,orange juice,14.75,2724
san diego seabreeze,pineapple juice,14.75,2725
san diego seabreeze,blackberry brandy,3.7,2726
sammensurium (mix up),vodka,20,2727
sammensurium (mix up),pisang ambon,20,2728
sammensurium (mix up),blue curacao,20,2729
sammensurium (mix up),orange juice,100,2730
sammensurium (mix up),grenadine,0.9,2731
salty dog #2,grapefruit juice,88.5,2732
salty dog #2,vodka,118,2733
salty dog #2,powdered sugar,100,2734
salty dog #2,ice,40,2735
salty dog,grapefruit juice,147.5,2736
salty dog,gin,44.25,2737
salty dog,salt,0.925,2738
salisbury special,coca-cola,1500,2739
salisbury special,orange juice,1500,2740
salisbury special,raspberry cordial,300,2741
salisbury special,vodka,29.5,2742
saketini,gin,73.75,2743
saketini,sake,5.55,2744
saketini,olive,10,2745
sake bomb,sake,29.5,2746
sake bomb,beer,473,2747
saint paul,gin,29.5,2748
saint paul,white rum,29.5,2749
saint paul,bitter lemon,100,2750
saint paul,ice,20,2751
saint paul,angostura bitters,0.9,2752
sacrilicious,bacardi limon,9.83333333333333,2753
sacrilicious,midori melon liqueur,9.83333333333333,2754
sacrilicious,lime juice,9.83333333333333,2755
rye whiskey cocktail,rye whiskey,59,2756
rye whiskey cocktail,powdered sugar,3.7,2757
rye whiskey cocktail,bitters,0.9,2758
rye whiskey cocktail,cherry,10,2759
rye & pepper,rye whiskey,59,2760
rye & pepper,dr. pepper,177.5,2761
rusty nail,scotch,44.25,2762
rusty nail,drambuie,14.75,2763
rusty nail,lemon peel,15,2764
russian sarin,absolut kurant,20,2765
russian sarin,midori melon liqueur,20,2766
russian sarin,schweppes russchian,100,2767
russian roulette,kahlua,14.75,2768
russian roulette,vodka,14.75,2769
russian roulette,sambuca,29.5,2770
russian roulette,orange,100,2771
russian qualude #3,coffee liqueur,29.5,2772
russian qualude #3,irish cream,29.5,2773
russian qualude #3,orange liqueur,29.5,2774
russian qualude #3,hazelnut liqueur,29.5,2775
russian qualude #3,vodka,29.5,2776
russian qualude #2,vodka,29.5,2777
russian qualude #2,irish cream,29.5,2778
russian qualude #2,coffee liqueur,22.125,2779
russian qualude #2,amaretto,22.125,2780
russian qualude,vodka,29.5,2781
russian qualude,kahlua,29.5,2782
russian qualude,irish cream,29.5,2783
russian qualude,frangelico,29.5,2784
russian qualude,cream,29.5,2785
russian quallude,vodka,59,2786
russian quallude,bailey's irish cream,29.5,2787
russian quallude,creme de cacao,29.5,2788
russian quallude,frangelico,29.5,2789
russian funk,vodka,2.7,2790
russian funk,lime juice,0.9,2791
russian funk,sugar,1.85,2792
russian funk,soda water,100,2793
russian cocktail,vodka,22.125,2794
russian cocktail,gin,22.125,2795
russian cocktail,creme de cacao,22.125,2796
russian brunch,vodka,29.5,2797
russian brunch,orange juice,44.25,2798
russian brunch,champagne,29.5,2799
russian boilermaker,beer,354,2800
russian boilermaker,vodka,29.5,2801
rumrunner's rubyred,vodka,59,2802
rumrunner's rubyred,grapefruit juice,147.5,2803
rumrunner's rubyred,tonic water,100,2804
rumrunner's easy margarita,limeade,355,2805
rumrunner's easy margarita,tequila,177.5,2806
rumrunner's easy margarita,gold tequila,177.5,2807
rumrunner's easy margarita,triple sec,44.25,2808
rumrunner's easy margarita,water,1183.33333333333,2809
rumrunner's easy margarita,lime juice,3.7,2810
rumka,vodka,29.5,2811
rumka,spiced rum,29.5,2812
rum toddy,rum,59,2813
rum toddy,powdered sugar,7.4,2814
rum toddy,lemon peel,15,2815
rum toddy,water,7.4,2816
rum swizzle,rum,59,2817
rum swizzle,carbonated water,100,2818
rum swizzle,lime,100,2819
rum swizzle,powdered sugar,100,2820
rum swizzle,bitters,100,2821
rum sour,light rum,59,2822
rum sour,lemon juice,29.5,2823
rum sour,sugar,1.85,2824
rum sour,orange,10,2825
rum sour,maraschino cherry,10,2826
rum screwdriver,light rum,44.25,2827
rum screwdriver,orange juice,147.5,2828
rum runner by charles,white rum,44.25,2829
rum runner by charles,banana liqueur,7.375,2830
rum runner by charles,blackberry brandy,7.375,2831
rum runner by charles,grenadine,100,2832
rum runner by charles,sweet and sour,100,2833
rum runner,malibu rum,44.25,2834
rum runner,blackberry brandy,29.5,2835
rum runner,orange juice,88.5,2836
rum runner,pineapple juice,88.5,2837
rum runner,cranberry juice,88.5,2838
rum rickey,light rum,44.25,2839
rum rickey,lime juice,14.75,2840
rum rickey,sugar syrup,3.7,2841
rum rickey,club soda,100,2842
rum punch,rum,100,2843
rum punch,ginger ale,100,2844
rum punch,fruit punch,10472.5,2845
rum punch,orange juice,10472.5,2846
rum punch,ice,100,2847
rum old-fashioned,light rum,44.25,2848
rum old-fashioned,151 proof rum,3.7,2849
rum old-fashioned,powdered sugar,1.85,2850
rum old-fashioned,bitters,0.9,2851
rum old-fashioned,water,3.7,2852
rum old-fashioned,lime peel,150,2853
rum milk punch,light rum,59,2854
rum milk punch,milk,257,2855
rum milk punch,powdered sugar,3.7,2856
rum milk punch,nutmeg,100,2857
rum martini,light rum,73.75,2858
rum martini,dry vermouth,5.55,2859
rum martini,lemon peel,15,2860
rum highball,rum,59,2861
rum highball,carbonated water,100,2862
rum highball,lemon peel,100,2863
rum gimlet,light rum,59,2864
rum gimlet,lime juice cordial,14.75,2865
rum gimlet,lime,10,2866
rum fix,light rum,73.75,2867
rum fix,lemon,10,2868
rum fix,powdered sugar,3.7,2869
rum fix,water,3.7,2870
rum fix,lemon,10,2871
rum eggnog,rum,59,2872
rum eggnog,milk,177,2873
rum eggnog,powdered sugar,3.7,2874
rum eggnog,egg,10,2875
rum eggnog,nutmeg,100,2876
rum dubonnet,dubonnet rouge,5.55,2877
rum dubonnet,light rum,44.25,2878
rum dubonnet,lemon juice,3.7,2879
rum daisy,dark rum,59,2880
rum daisy,lemon juice,29.5,2881
rum daisy,sugar,1.85,2882
rum daisy,grenadine,1.85,2883
rum daisy,maraschino cherry,10,2884
rum daisy,orange,10,2885
rum cooler,rum,59,2886
rum cooler,lemon-lime soda,118,2887
rum cooler,lemon,10,2888
rum collins,light rum,59,2889
rum collins,lime,10,2890
rum collins,powdered sugar,3.7,2891
rum collins,carbonated water,100,2892
rum collins,lemon,100,2893
rum collins,cherry,100,2894
rum cobbler,sugar,3.7,2895
rum cobbler,club soda,88.5,2896
rum cobbler,lemon,10,2897
rum cobbler,dark rum,59,2898
rum cobbler,maraschino cherry,10,2899
rum cobbler,orange,10,2900
rum and coke,rum,118,2901
rum and coke,coca-cola,236,2902
rum aid,151 proof rum,29.5,2903
rum aid,malibu rum,29.5,2904
rum aid,rum,29.5,2905
rum aid,grand marnier,22.2,2906
rum aid,sour mix,10,2907
rum aid,ginger ale,29.5,2908
rum a'la olof,rum,30,2909
rum a'la olof,lemon juice,200,2910
rum a'la olof,whipped cream,500,2911
rum a'la olof,coffee,50,2912
rum a'la olof,cocoa powder,50,2913
ruby tuesday,gin,59,2914
ruby tuesday,cranberry juice,147.5,2915
ruby tuesday,grenadine,7.4,2916
ruby relaxer,peach schnapps,29.5,2917
ruby relaxer,vodka,29.5,2918
ruby relaxer,malibu rum,29.5,2919
ruby relaxer,pineapple juice,4730,2920
ruby relaxer,cranberry juice,37,2921
ruby in the rough,gin,44.25,2922
ruby in the rough,cherry brandy,14.75,2923
ruby in the rough,sweet vermouth,3.7,2924
ruby fizz,sloe gin,59,2925
ruby fizz,grenadine,3.7,2926
ruby fizz,lemon,5,2927
ruby fizz,powdered sugar,3.7,2928
ruby fizz,egg white,10,2929
ruby fizz,carbonated water,100,2930
ru's snap shot,cinnamon schnapps,22.125,2931
ru's snap shot,candy,3.7,2932
royalty fizz,gin,59,2933
royalty fizz,lemon juice,29.5,2934
royalty fizz,blue curacao,1.85,2935
royalty fizz,sugar,3.7,2936
royalty fizz,egg,10,2937
royalty fizz,club soda,88.5,2938
royal smile cocktail,apple brandy,29.5,2939
royal smile cocktail,gin,14.75,2940
royal smile cocktail,lemon,2.5,2941
royal smile cocktail,grenadine,3.7,2942
royal scandal,crown royal,29.5,2943
royal scandal,southern comfort,29.5,2944
royal scandal,amaretto,29.5,2945
royal scandal,sweet and sour,3.7,2946
royal scandal,pineapple juice,3.7,2947
royal gin fizz,gin,59,2948
royal gin fizz,lemon,5,2949
royal gin fizz,powdered sugar,3.7,2950
royal gin fizz,egg,10,2951
royal gin fizz,carbonated water,100,2952
royal flush,crown royal,44.25,2953
royal flush,peach schnapps,29.5,2954
royal flush,chambord raspberry liqueur,14.75,2955
royal flush,cranberry juice,29.5,2956
royal fizz,gin,29.5,2957
royal fizz,sweet and sour,59,2958
royal fizz,egg,10,2959
royal fizz,coca-cola,100,2960
royal cocktail,gin,44.25,2961
royal cocktail,lemon,5,2962
royal cocktail,powdered sugar,1.85,2963
royal cocktail,egg,10,2964
royal clover club cocktail,gin,44.25,2965
royal clover club cocktail,lemon,5,2966
royal clover club cocktail,grenadine,11.1,2967
royal clover club cocktail,egg yolk,10,2968
royal bitch,frangelico,29.5,2969
royal bitch,crown royal,29.5,2970
rouge martini,gin,59,2971
rouge martini,chambord raspberry liqueur,3.7,2972
rotten pussy,midori melon liqueur,29.5,2973
rotten pussy,amaretto,14.75,2974
rotten pussy,southern comfort,14.75,2975
rotten pussy,malibu rum,14.75,2976
rotten pussy,sour mix,3.7,2977
rotten pussy,pineapple juice,3.7,2978
rosita,tequila,29.5,2979
rosita,dry vermouth,14.75,2980
rosita,sweet vermouth,14.75,2981
rosita,campari,29.5,2982
roselyn cocktail,gin,44.25,2983
roselyn cocktail,dry vermouth,22.125,2984
roselyn cocktail,grenadine,1.85,2985
roselyn cocktail,lemon peel,15,2986
rosebud,citrus vodka,59,2987
rosebud,triple sec,14.75,2988
rosebud,rose's sweetened lime juice,29.5,2989
rosebud,grapefruit juice,59,2990
rosebud,ice,100,2991
rose de mai cocktail,pineapple juice,30,2992
rose de mai cocktail,raspberry syrup,3.7,2993
rose de mai cocktail,cream,60,2994
rose cocktail (french),gin,44.25,2995
rose cocktail (french),dry vermouth,14.75,2996
rose cocktail (french),cherry brandy,14.75,2997
rose cocktail (english),dry vermouth,14.75,2998
rose cocktail (english),gin,29.5,2999
rose cocktail (english),apricot brandy,14.75,3000
rose cocktail (english),lemon juice,1.85,3001
rose cocktail (english),grenadine,3.7,3002
rose cocktail (english),powdered sugar,100,3003
rory o'more,irish whiskey,44.25,3004
rory o'more,sweet vermouth,22.125,3005
rory o'more,orange bitters,0.9,3006
rootbeer floatie,root beer schnapps,14.75,3007
rootbeer floatie,light cream,14.75,3008
root canal,peppermint schnapps,7.375,3009
root canal,root beer schnapps,59,3010
root canal,dr. pepper,100,3011
root beer float #3,galliano,44.25,3012
root beer float #3,ice,120,3013
root beer float #3,coca-cola,100,3014
root beer float #3,heavy cream,100,3015
root beer float #2,ice,100,3016
root beer float #2,root beer schnapps,100,3017
root beer float #2,half-and-half,100,3018
root beer float #2,coca-cola,100,3019
root beer float,vodka,14.75,3020
root beer float,galliano,14.75,3021
root beer float,light cream,14.75,3022
root beer float,coca-cola,100,3023
root beer float,whipped cream,100,3024
root beer fizz,gin,59,3025
root beer fizz,lemon juice,29.5,3026
root beer fizz,sugar,3.7,3027
root beer fizz,root beer,118,3028
root beer fizz,maraschino cherry,10,3029
root beer barrel,root beer schnapps,29.5,3030
root beer barrel,beer,100,3031
root beer,vodka,59,3032
root beer,pepsi cola,177,3033
root beer,galliano,3.7,3034
rooster piss,jack daniels,14.75,3035
rooster piss,cinnamon schnapps,14.75,3036
rontini,mountain dew,88.5,3037
rontini,vodka,29.5,3038
romulan ale,white rum,44.25,3039
romulan ale,blue curacao,29.5,3040
romulan ale,sprite,70,3041
romulan ale,tabasco sauce,100,3042
romona banana,amaretto,9.83333333333333,3043
romona banana,banana liqueur,9.83333333333333,3044
romona banana,peppermint schnapps,9.83333333333333,3045
rolls-royce,gin,44.25,3046
rolls-royce,sweet vermouth,14.75,3047
rolls-royce,dry vermouth,14.75,3048
rolls-royce,benedictine,3.7,3049
rok-shasa,grenadine,14.75,3050
rok-shasa,peachtree schnapps,29.5,3051
rok-shasa,pineapple juice,50,3052
rococo,cherry vodka,29.5,3053
rococo,triple sec,14.75,3054
rococo,orange juice,29.5,3055
rocky mountain mother fucker,amaretto,14.75,3056
rocky mountain mother fucker,yukon jack,14.75,3057
rocky mountain mother fucker,rose's sweetened lime juice,20,3058
rocky mountain bear fucker,tequila,9.83333333333333,3059
rocky mountain bear fucker,jack daniels,9.83333333333333,3060
rocky mountain bear fucker,southern comfort,9.83333333333333,3061
rocket fuel,vodka,29.5,3062
rocket fuel,tequila,29.5,3063
rocket fuel,white rum,29.5,3064
rock and rye cocktail,rock and rye,29.5,3065
rock and rye cocktail,white port,29.5,3066
rock and rye cocktail,dry vermouth,5.55,3067
robyn,vodka,60,3068
robyn,schweppes russchian,100,3069
robyn,lime juice,100,3070
robyn,carbonated soft drink,100,3071
robson cocktail,rum,29.5,3072
robson cocktail,grenadine,5.55,3073
robson cocktail,lemon juice,7.4,3074
robson cocktail,orange juice,11.1,3075
robot,jack daniels,236.5,3076
robot,absolut vodka,59.125,3077
robot,grenadine,20,3078
robitussin,cherry vodka,44.25,3079
robitussin,root beer schnapps,44.25,3080
robin's nest,vodka,29.5,3081
robin's nest,creme de cacao,14.75,3082
robin's nest,cranberry juice,29.5,3083
robert says: mass,vodka,60,3084
robert says: mass,rose's sweetened lime juice,30,3085
robert says: mass,tonic water,100,3086
rob roy,scotch,44.25,3087
rob roy,sweet vermouth,22.125,3088
rob roy,angostura bitters,0.9,3089
rob roy,maraschino cherry,10,3090
roadrunner punch,malibu rum,29.5,3091
roadrunner punch,blue curacao,29.5,3092
roadrunner punch,peach schnapps,29.5,3093
roadrunner punch,fruit punch,100,3094
ritz fizz,champagne,100,3095
ritz fizz,blue curacao,0.9,3096
ritz fizz,amaretto,0.9,3097
ritz fizz,lemon juice,0.9,3098
ritz fizz,lemon peel,150,3099
riley's sparrow,dark rum,44.25,3100
riley's sparrow,southern comfort,14.75,3101
riley's sparrow,bitters,1.8,3102
rikkertje,151 proof rum,29.5,3103
rikkertje,safari,29.5,3104
rikkertje,orange juice,59,3105
rikkertje,vodka,29.5,3106
rick,sambuca,14.75,3107
rick,orange juice,14.75,3108
richie family,absolut vodka,30,3109
richie family,whiskey,30,3110
richie family,bailey's irish cream,30,3111
richie family,coffee,250,3112
richie family,brown sugar,7.4,3113
richie 50,absolut vodka,236,3114
richie 50,orange juice,236,3115
richie 50,cherry,10,3116
rhubarb syrup,rhubarb,10,3117
rhubarb syrup,water,257,3118
rhubarb syrup,sugar,514,3119
rhubarb syrup,rosewater,22.2,3120
reynolds special,gin,59,3121
reynolds special,grapefruit juice,59,3122
reynolds special,ice,48,3123
reynolds special,tonic water,118,3124
resolute cocktail,apricot brandy,14.75,3125
resolute cocktail,gin,29.5,3126
resolute cocktail,lemon,2.5,3127
reptile (orginal),whiskey,29.5,3128
reptile (orginal),orange juice,44.25,3129
reptile (orginal),mountain dew,29.5,3130
reptile (orginal),grapes,100,3131
reptile,whiskey,29.5,3132
reptile,mountain dew,29.5,3133
reptile,orange juice,44.25,3134
rensselaer slam,coffee,29.5,3135
rensselaer slam,irish cream,88.5,3136
rensselaer slam,coffee brandy,29.5,3137
rensselaer slam,rum,29.5,3138
remsen cooler,gin,59,3139
remsen cooler,carbonated water,100,3140
remsen cooler,powdered sugar,100,3141
remsen cooler,orange spiral,100,3142
remsen cooler,lemon peel,100,3143
reggae ambassador,absolut citron,29.5,3144
reggae ambassador,pineapple-orange-banana juice,59,3145
reggae ambassador,sugar,100,3146
reggae ambassador,strawberries,100,3147
reform cocktail,sherry,44.25,3148
reform cocktail,dry vermouth,22.125,3149
reform cocktail,orange bitters,0.9,3150
reform cocktail,cherry,10,3151
redcoat,light rum,44.25,3152
redcoat,vodka,14.75,3153
redcoat,apricot brandy,14.75,3154
redcoat,lime juice,14.75,3155
redcoat,grenadine,3.7,3156
red witch,pernod,29.5,3157
red witch,cider,473,3158
red witch,blackcurrant cordial,100,3159
red wine punch,red wine,59,3160
red wine punch,soda water,29.5,3161
red wine punch,powdered sugar,33.3,3162
red wine punch,orange,100,3163
red tequila,tequila,40,3164
red tequila,tabasco sauce,20,3165
red tequila,lemon,5,3166
red square,vodka,29.5,3167
red square,sambuca,29.5,3168
red square,tabasco sauce,100,3169
red snapper #2,crown royal,36.875,3170
red snapper #2,amaretto,14.75,3171
red snapper #2,cranberry juice,3.7,3172
red snapper,crown royal,29.5,3173
red snapper,amaretto,29.5,3174
red snapper,cranberry juice,29.5,3175
red ruby,gin,44.25,3176
red ruby,cherry brandy,14.75,3177
red ruby,dry vermouth,14.75,3178
red royal,crown royal,29.5,3179
red royal,amaretto,29.5,3180
red royal,cranberry juice,100,3181
red royal,7-up,3.7,3182
red raider,triple sec,14.75,3183
red raider,bourbon,29.5,3184
red raider,lemon juice,29.5,3185
red raider,grenadine,0.9,3186
red ox,light rum,29.5,3187
red ox,malibu rum,14.75,3188
red ox,pineapple juice,29.5,3189
red ox,cranberry juice,14.75,3190
red ox,sweet and sour,100,3191
red ox,grenadine,100,3192
red orange,vodka,88.5,3193
red orange,cinzano orancio,29.5,3194
red orange,orange,100,3195
red lion,gin,9.83333333333333,3196
red lion,grand marnier,9.83333333333333,3197
red lion,orange juice,4.91666666666667,3198
red lion,lemon juice,4.91666666666667,3199
red gin,ice,100,3200
red gin,gin,59,3201
red gin,cherry heering,3.7,3202
red gin,maraschino cherry,10,3203
red eye,beer,354.75,3204
red eye,vodka,29.5,3205
red eye,tomato juice,100,3206
red death #2,absolut vodka,100,3207
red death #2,southern comfort,100,3208
red death #2,amaretto,100,3209
red death #2,sloe gin,100,3210
red death #2,triple sec,100,3211
